shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
1,1,21.018455,105.806888
1,2,21.018450,105.807258
1,3,21.019433,105.809453
1,4,21.017483,105.813406
1,5,21.016050,105.815891
1,6,21.014766,105.817625
1,7,21.010233,105.822824
1,8,21.008983,105.825458
1,9,21.007162,105.829325
1,10,21.007933,105.832858
1,11,21.009346,105.834632
10,1,21.003150,105.801292
10,2,21.004333,105.806342
100,1,21.017816,105.823691
100,2,21.014966,105.823874
100,3,21.013350,105.822741
100,4,21.008983,105.825458
100,5,21.007162,105.829325
100,6,21.007933,105.832858
100,7,21.006617,105.835270
100,8,21.004800,105.835541
1000,1,21.009983,105.835274
1000,2,21.008100,105.833008
1000,3,21.007735,105.828567
1000,4,21.007383,105.822975
1001,1,21.018455,105.806888
1001,2,21.018450,105.807258
1001,3,21.019433,105.809453
1001,4,21.017483,105.813406
1001,5,21.016050,105.815891
1001,6,21.014766,105.817625
1001,7,21.010233,105.822824
1001,8,21.008983,105.825458
1001,9,21.007162,105.829325
1001,10,21.003050,105.829741
1002,1,21.009983,105.835274
1002,2,21.008100,105.833008
1002,3,21.007735,105.828567
1002,4,21.007383,105.822975
1003,1,21.018455,105.806888
1003,2,21.018450,105.807258
1003,3,21.019433,105.809453
1003,4,21.017483,105.813406
1003,5,21.016050,105.815891
1003,6,21.014766,105.817625
1003,7,21.010233,105.822824
1003,8,21.008983,105.825458
1003,9,21.007162,105.829325
1003,10,21.003050,105.829741
1004,1,21.009983,105.835274
1004,2,21.008100,105.833008
1004,3,21.007735,105.828567
1004,4,21.007383,105.822975
1004,5,21.004217,105.818458
1004,6,21.006133,105.816491
1004,7,21.010100,105.812641
1004,8,21.013357,105.807867
1004,9,21.014800,105.801608
1005,1,21.009983,105.835274
1005,2,21.008100,105.833008
1005,3,21.007735,105.828567
1005,4,21.007383,105.822975
1006,1,21.018455,105.806888
1006,2,21.018450,105.807258
1006,3,21.019433,105.809453
1006,4,21.017483,105.813406
1006,5,21.016050,105.815891
1006,6,21.014766,105.817625
1006,7,21.010233,105.822824
1006,8,21.008983,105.825458
1006,9,21.007162,105.829325
1006,10,21.003050,105.829741
1007,1,21.009983,105.835274
1007,2,21.008100,105.833008
1007,3,21.007735,105.828567
1007,4,21.007383,105.822975
1007,5,21.004217,105.818458
1007,6,21.006133,105.816491
1007,7,21.010100,105.812641
1007,8,21.013357,105.807867
1007,9,21.014800,105.801608
1008,1,21.009983,105.835274
1008,2,21.008100,105.833008
1008,3,21.007735,105.828567
1008,4,21.010083,105.823215
1008,5,21.013350,105.819841
1008,6,21.016316,105.815641
1008,7,21.017266,105.814075
1008,8,21.019750,105.808966
1008,9,21.021702,105.809166
1009,1,21.009983,105.835274
1009,2,21.008100,105.833008
1009,3,21.007735,105.828567
1009,4,21.007383,105.822975
101,1,21.003067,105.821708
101,2,21.004217,105.818458
101,3,21.006133,105.816491
101,4,21.010100,105.812641
101,5,21.013357,105.807867
101,6,21.018400,105.802792
1010,1,21.018455,105.806888
1010,2,21.018450,105.807258
1010,3,21.019433,105.809453
1010,4,21.017483,105.813406
1010,5,21.016050,105.815891
1010,6,21.014766,105.817625
1010,7,21.010233,105.822824
1010,8,21.008983,105.825458
1010,9,21.007162,105.829325
1010,10,21.003050,105.829741
1011,1,21.009983,105.835274
1011,2,21.008100,105.833008
1011,3,21.007735,105.828567
1011,4,21.007383,105.822975
1011,5,21.004217,105.818458
1011,6,21.006133,105.816491
1011,7,21.010100,105.812641
1011,8,21.013357,105.807867
1011,9,21.014800,105.801608
1012,1,21.009983,105.835274
1012,2,21.008100,105.833008
1012,3,21.007735,105.828567
1012,4,21.010083,105.823215
1012,5,21.013350,105.819841
1012,6,21.016316,105.815641
1012,7,21.017266,105.814075
1012,8,21.019750,105.808966
1012,9,21.021702,105.809166
1013,1,21.009983,105.835274
1013,2,21.008100,105.833008
1013,3,21.007735,105.828567
1013,4,21.007383,105.822975
1014,1,21.009983,105.835274
1014,2,21.008100,105.833008
1014,3,21.007735,105.828567
1014,4,21.007383,105.822975
1014,5,21.004217,105.818458
1014,6,21.006133,105.816491
1014,7,21.010100,105.812641
1014,8,21.013357,105.807867
1014,9,21.014800,105.801608
1015,1,21.009983,105.835274
1015,2,21.008100,105.833008
1015,3,21.007735,105.828567
1015,4,21.010083,105.823215
1015,5,21.013350,105.819841
1015,6,21.016316,105.815641
1015,7,21.017266,105.814075
1015,8,21.019750,105.808966
1015,9,21.021702,105.809166
1016,1,21.009983,105.835274
1016,2,21.008100,105.833008
1016,3,21.007735,105.828567
1016,4,21.007383,105.822975
1017,1,21.009983,105.835274
1017,2,21.008100,105.833008
1017,3,21.007735,105.828567
1017,4,21.010083,105.823215
1017,5,21.013350,105.819841
1017,6,21.016316,105.815641
1017,7,21.017266,105.814075
1017,8,21.019750,105.808966
1017,9,21.021702,105.809166
1018,1,21.009983,105.835274
1018,2,21.008100,105.833008
1018,3,21.007735,105.828567
1018,4,21.010083,105.823215
1018,5,21.013350,105.819841
1018,6,21.016316,105.815641
1018,7,21.017266,105.814075
1018,8,21.019750,105.808966
1018,9,21.021702,105.809166
1019,1,21.018455,105.806888
1019,2,21.018450,105.807258
1019,3,21.019433,105.809453
1019,4,21.017483,105.813406
1019,5,21.013533,105.812525
1019,6,21.010350,105.811808
1019,7,21.010867,105.816075
1019,8,21.011567,105.817525
1019,9,21.009100,105.819575
1019,10,21.007867,105.823491
1019,11,21.010567,105.824891
1019,12,21.017120,105.828864
1019,13,21.019537,105.833231
102,1,21.017816,105.823691
102,2,21.014966,105.823874
102,3,21.013350,105.822741
102,4,21.008983,105.825458
102,5,21.007162,105.829325
102,6,21.007933,105.832858
102,7,21.006617,105.835270
102,8,21.004800,105.835541
1020,1,21.009983,105.835274
1020,2,21.008100,105.833008
1020,3,21.007735,105.828567
1020,4,21.010083,105.823215
1020,5,21.013350,105.819841
1020,6,21.016316,105.815641
1020,7,21.017266,105.814075
1020,8,21.019750,105.808966
1020,9,21.021702,105.809166
1021,1,21.018455,105.806888
1021,2,21.018450,105.807258
1021,3,21.019433,105.809453
1021,4,21.017483,105.813406
1021,5,21.013533,105.812525
1021,6,21.010350,105.811808
1021,7,21.010867,105.816075
1021,8,21.011567,105.817525
1021,9,21.009100,105.819575
1021,10,21.007867,105.823491
1021,11,21.010567,105.824891
1021,12,21.017120,105.828864
1021,13,21.019537,105.833231
1022,1,21.009983,105.835274
1022,2,21.008100,105.833008
1022,3,21.007735,105.828567
1022,4,21.010083,105.823215
1022,5,21.013350,105.819841
1022,6,21.016316,105.815641
1022,7,21.017266,105.814075
1022,8,21.019750,105.808966
1022,9,21.021702,105.809166
1023,1,21.009983,105.835274
1023,2,21.008100,105.833008
1023,3,21.007735,105.828567
1023,4,21.010083,105.823215
1023,5,21.013350,105.819841
1023,6,21.016316,105.815641
1023,7,21.017266,105.814075
1023,8,21.019750,105.808966
1023,9,21.021702,105.809166
1024,1,21.018455,105.806888
1024,2,21.018450,105.807258
1024,3,21.019433,105.809453
1024,4,21.017483,105.813406
1024,5,21.016050,105.815891
1024,6,21.014766,105.817625
1024,7,21.010233,105.822824
1024,8,21.008983,105.825458
1024,9,21.007162,105.829325
1024,10,21.003050,105.829741
1025,1,21.018455,105.806888
1025,2,21.018450,105.807258
1025,3,21.019433,105.809453
1025,4,21.017483,105.813406
1025,5,21.013533,105.812525
1025,6,21.010350,105.811808
1025,7,21.010867,105.816075
1025,8,21.011567,105.817525
1025,9,21.009100,105.819575
1025,10,21.007867,105.823491
1025,11,21.010567,105.824891
1025,12,21.017120,105.828864
1025,13,21.019537,105.833231
1026,1,21.007867,105.823491
1026,2,21.010567,105.824891
1026,3,21.017120,105.828864
1026,4,21.020210,105.830570
1027,1,21.009983,105.835274
1027,2,21.008100,105.833008
1027,3,21.007735,105.828567
1027,4,21.010083,105.823215
1027,5,21.013350,105.819841
1027,6,21.016316,105.815641
1027,7,21.017266,105.814075
1027,8,21.019750,105.808966
1027,9,21.021702,105.809166
1028,1,21.018455,105.806888
1028,2,21.018450,105.807258
1028,3,21.019433,105.809453
1028,4,21.017483,105.813406
1028,5,21.016050,105.815891
1028,6,21.014766,105.817625
1028,7,21.010233,105.822824
1028,8,21.008983,105.825458
1028,9,21.007162,105.829325
1028,10,21.003050,105.829741
1029,1,21.007867,105.823491
1029,2,21.010567,105.824891
1029,3,21.017120,105.828864
1029,4,21.020210,105.830570
103,1,21.017816,105.823691
103,2,21.014966,105.823874
103,3,21.013350,105.822741
103,4,21.008983,105.825458
103,5,21.007162,105.829325
103,6,21.007933,105.832858
103,7,21.006617,105.835270
103,8,21.004800,105.835541
1030,1,21.009983,105.835274
1030,2,21.008100,105.833008
1030,3,21.007735,105.828567
1030,4,21.010083,105.823215
1030,5,21.013350,105.819841
1030,6,21.016316,105.815641
1030,7,21.017266,105.814075
1030,8,21.019750,105.808966
1030,9,21.021702,105.809166
1031,1,21.009983,105.835274
1031,2,21.008100,105.833008
1031,3,21.007735,105.828567
1031,4,21.007383,105.822975
1032,1,21.018455,105.806888
1032,2,21.018450,105.807258
1032,3,21.019433,105.809453
1032,4,21.017483,105.813406
1032,5,21.016050,105.815891
1032,6,21.014766,105.817625
1032,7,21.010233,105.822824
1032,8,21.008983,105.825458
1032,9,21.007162,105.829325
1032,10,21.003050,105.829741
1033,1,21.007867,105.823491
1033,2,21.010567,105.824891
1033,3,21.017120,105.828864
1033,4,21.020210,105.830570
1034,1,21.009983,105.835274
1034,2,21.008100,105.833008
1034,3,21.007735,105.828567
1034,4,21.010083,105.823215
1034,5,21.013350,105.819841
1034,6,21.016316,105.815641
1034,7,21.017266,105.814075
1034,8,21.019750,105.808966
1034,9,21.021702,105.809166
1035,1,21.009983,105.835274
1035,2,21.008100,105.833008
1035,3,21.007735,105.828567
1035,4,21.007383,105.822975
1036,1,21.018455,105.806888
1036,2,21.018450,105.807258
1036,3,21.019433,105.809453
1036,4,21.017483,105.813406
1036,5,21.016050,105.815891
1036,6,21.014766,105.817625
1036,7,21.010233,105.822824
1036,8,21.008983,105.825458
1036,9,21.007162,105.829325
1036,10,21.003050,105.829741
1037,1,21.018455,105.806888
1037,2,21.018450,105.807258
1037,3,21.019433,105.809453
1037,4,21.017483,105.813406
1037,5,21.013533,105.812525
1037,6,21.010350,105.811808
1037,7,21.010867,105.816075
1037,8,21.011567,105.817525
1037,9,21.009100,105.819575
1037,10,21.007867,105.823491
1037,11,21.010567,105.824891
1037,12,21.017120,105.828864
1037,13,21.019537,105.833231
1038,1,21.007867,105.823491
1038,2,21.010567,105.824891
1038,3,21.017120,105.828864
1038,4,21.020210,105.830570
1039,1,21.009983,105.835274
1039,2,21.008100,105.833008
1039,3,21.007735,105.828567
1039,4,21.010083,105.823215
1039,5,21.013350,105.819841
1039,6,21.016316,105.815641
1039,7,21.017266,105.814075
1039,8,21.019750,105.808966
1039,9,21.021702,105.809166
104,1,21.017816,105.823691
104,2,21.014966,105.823874
104,3,21.013350,105.822741
104,4,21.008983,105.825458
104,5,21.007162,105.829325
104,6,21.007933,105.832858
104,7,21.006617,105.835270
104,8,21.004800,105.835541
1040,1,21.009983,105.835274
1040,2,21.008100,105.833008
1040,3,21.007735,105.828567
1040,4,21.007383,105.822975
1041,1,21.018455,105.806888
1041,2,21.018450,105.807258
1041,3,21.019433,105.809453
1041,4,21.017483,105.813406
1041,5,21.016050,105.815891
1041,6,21.014766,105.817625
1041,7,21.010233,105.822824
1041,8,21.008983,105.825458
1041,9,21.007162,105.829325
1041,10,21.003050,105.829741
1042,1,21.007867,105.823491
1042,2,21.010567,105.824891
1042,3,21.017120,105.828864
1042,4,21.020210,105.830570
1043,1,21.007867,105.823491
1043,2,21.010567,105.824891
1043,3,21.017120,105.828864
1043,4,21.020210,105.830570
1044,1,21.007867,105.823491
1044,2,21.010567,105.824891
1044,3,21.017120,105.828864
1044,4,21.020210,105.830570
1045,1,21.007867,105.823491
1045,2,21.010567,105.824891
1045,3,21.017120,105.828864
1045,4,21.020210,105.830570
1046,1,21.007867,105.823491
1046,2,21.010567,105.824891
1046,3,21.017120,105.828864
1046,4,21.020210,105.830570
1047,1,21.009983,105.835274
1047,2,21.008100,105.833008
1047,3,21.007735,105.828567
1047,4,21.007383,105.822975
1047,5,21.004217,105.818458
1047,6,21.006133,105.816491
1047,7,21.010100,105.812641
1047,8,21.013357,105.807867
1047,9,21.014800,105.801608
1048,1,21.009983,105.835274
1048,2,21.008100,105.833008
1048,3,21.007735,105.828567
1048,4,21.007383,105.822975
1048,5,21.004217,105.818458
1048,6,21.006133,105.816491
1048,7,21.010100,105.812641
1048,8,21.013357,105.807867
1048,9,21.014800,105.801608
1049,1,21.009983,105.835274
1049,2,21.008100,105.833008
