stop_id,stop_name,stop_lat,stop_lon
01_1_S12,STOP_01_1_S12,21.019377,105.837823
01_1_S13,STOP_01_1_S13,21.019613,105.833925
01_1_S14,STOP_01_1_S14,21.016060,105.828116
01_1_S15,STOP_01_1_S15,21.011350,105.825174
01_1_S16,STOP_01_1_S16,21.007383,105.822975
01_2_S21,STOP_01_2_S21,21.007867,105.823491
01_2_S22,STOP_01_2_S22,21.010567,105.824891
01_2_S23,STOP_01_2_S23,21.017120,105.828864
01_2_S24,STOP_01_2_S24,21.019537,105.833231
02_1_S15,STOP_02_1_S15,21.020243,105.830360
02_1_S16,STOP_02_1_S16,21.016060,105.828116
02_1_S17,STOP_02_1_S17,21.011350,105.825174
02_1_S18,STOP_02_1_S18,21.007383,105.822975
02_2_S21,STOP_02_2_S21,21.007867,105.823491
02_2_S22,STOP_02_2_S22,21.010567,105.824891
02_2_S23,STOP_02_2_S23,21.017120,105.828864
02_2_S24,STOP_02_2_S24,21.020210,105.830570
09_1_S10,STOP_09_1_S10,21.011350,105.825174
09_1_S11,STOP_09_1_S11,21.007383,105.822975
09_1_S12,STOP_09_1_S12,21.007850,105.820741
09_1_S13,STOP_09_1_S13,21.011800,105.817358
09_1_S14,STOP_09_1_S14,21.014066,105.814958
09_1_S15,STOP_09_1_S15,21.017266,105.814075
09_1_S16,STOP_09_1_S16,21.019750,105.808966
09_1_S17,STOP_09_1_S17,21.021702,105.809166
09_1_S7,STOP_09_1_S7,21.019377,105.837823
09_1_S8,STOP_09_1_S8,21.019613,105.833925
09_1_S9,STOP_09_1_S9,21.016060,105.828116
09_2_S20,STOP_09_2_S20,21.018455,105.806888
09_2_S21,STOP_09_2_S21,21.018450,105.807258
09_2_S22,STOP_09_2_S22,21.019433,105.809453
09_2_S23,STOP_09_2_S23,21.017483,105.813406
09_2_S24,STOP_09_2_S24,21.013533,105.812525
09_2_S25,STOP_09_2_S25,21.010350,105.811808
09_2_S26,STOP_09_2_S26,21.010867,105.816075
09_2_S27,STOP_09_2_S27,21.011567,105.817525
09_2_S28,STOP_09_2_S28,21.009100,105.819575
09_2_S29,STOP_09_2_S29,21.007867,105.823491
09_2_S30,STOP_09_2_S30,21.010567,105.824891
09_2_S31,STOP_09_2_S31,21.017120,105.828864
09_2_S32,STOP_09_2_S32,21.019537,105.833231
104_1_S12,STOP_104_1_S12,21.018166,105.802125
104_1_S13,STOP_104_1_S13,21.014350,105.805291
104_1_S14,STOP_104_1_S14,21.011717,105.808691
104_1_S15,STOP_104_1_S15,21.008017,105.814225
104_1_S16,STOP_104_1_S16,21.002450,105.817341
104_2_S14,STOP_104_2_S14,21.002033,105.818591
104_2_S15,STOP_104_2_S15,21.003100,105.817141
104_2_S16,STOP_104_2_S16,21.007933,105.814408
104_2_S17,STOP_104_2_S17,21.011617,105.809025
104_2_S18,STOP_104_2_S18,21.014316,105.805408
104_2_S19,STOP_104_2_S19,21.017933,105.802242
105_1_S34,STOP_105_1_S34,21.003150,105.801292
105_1_S35,STOP_105_1_S35,21.007667,105.802592
105_1_S36,STOP_105_1_S36,21.012848,105.801899
105_1_S37,STOP_105_1_S37,21.014800,105.801608
105_2_S10,STOP_105_2_S10,21.007517,105.802325
105_2_S11,STOP_105_2_S11,21.003183,105.800808
105_2_S6,STOP_105_2_S6,21.015200,105.801142
105_2_S7,STOP_105_2_S7,21.012667,105.801208
107_1_S6,STOP_107_1_S6,21.018455,105.806888
107_1_S7,STOP_107_1_S7,21.012667,105.801208
107_2_S43,STOP_107_2_S43,21.012848,105.801899
107_2_S44,STOP_107_2_S44,21.018450,105.807258
107_2_S45,STOP_107_2_S45,21.021702,105.809166
12_1_S10,STOP_12_1_S10,21.017483,105.813406
12_1_S11,STOP_12_1_S11,21.016050,105.815891
12_1_S12,STOP_12_1_S12,21.014766,105.817625
12_1_S13,STOP_12_1_S13,21.010233,105.822824
12_1_S14,STOP_12_1_S14,21.008983,105.825458
12_1_S15,STOP_12_1_S15,21.007162,105.829325
12_1_S16,STOP_12_1_S16,21.003050,105.829741
12_1_S7,STOP_12_1_S7,21.018455,105.806888
12_1_S8,STOP_12_1_S8,21.018450,105.807258
12_1_S9,STOP_12_1_S9,21.019433,105.809453
12_2_S27,STOP_12_2_S27,21.002550,105.829541
12_2_S28,STOP_12_2_S28,21.007735,105.828567
12_2_S29,STOP_12_2_S29,21.010083,105.823215
12_2_S30,STOP_12_2_S30,21.013350,105.819841
12_2_S31,STOP_12_2_S31,21.016316,105.815641
12_2_S32,STOP_12_2_S32,21.017266,105.814075
12_2_S33,STOP_12_2_S33,21.019750,105.808966
12_2_S34,STOP_12_2_S34,21.021702,105.809166
16_1_S10,STOP_16_1_S10,21.014300,105.806208
16_1_S11,STOP_16_1_S11,21.012650,105.808425
16_1_S12,STOP_16_1_S12,21.010350,105.811808
16_1_S13,STOP_16_1_S13,21.008167,105.814825
16_1_S14,STOP_16_1_S14,21.003883,105.818391
16_1_S15,STOP_16_1_S15,21.002450,105.822908
16_1_S9,STOP_16_1_S9,21.018183,105.802692
16_2_S10,STOP_16_2_S10,21.003067,105.821708
16_2_S11,STOP_16_2_S11,21.004217,105.818458
16_2_S12,STOP_16_2_S12,21.006133,105.816491
16_2_S13,STOP_16_2_S13,21.010100,105.812641
16_2_S14,STOP_16_2_S14,21.013357,105.807867
16_2_S15,STOP_16_2_S15,21.018400,105.802792
18_1_S10,STOP_18_1_S10,21.011800,105.817358
18_1_S11,STOP_18_1_S11,21.014066,105.814958
18_1_S12,STOP_18_1_S12,21.018750,105.816275
18_1_S13,STOP_18_1_S13,21.021050,105.818008
18_1_S5,STOP_18_1_S5,21.004717,105.835624
18_1_S6,STOP_18_1_S6,21.006233,105.833074
18_1_S7,STOP_18_1_S7,21.007735,105.828567
18_1_S8,STOP_18_1_S8,21.007383,105.822975
18_1_S9,STOP_18_1_S9,21.007850,105.820741
18_2_S27,STOP_18_2_S27,21.017816,105.823691
18_2_S28,STOP_18_2_S28,21.015366,105.819591
18_2_S29,STOP_18_2_S29,21.011567,105.817525
18_2_S30,STOP_18_2_S30,21.009100,105.819575
18_2_S31,STOP_18_2_S31,21.007867,105.823491
18_2_S32,STOP_18_2_S32,21.008983,105.825458
18_2_S33,STOP_18_2_S33,21.007162,105.829325
18_2_S34,STOP_18_2_S34,21.007933,105.832858
18_2_S35,STOP_18_2_S35,21.006617,105.835270
18_2_S36,STOP_18_2_S36,21.004800,105.835541
19_1_S15,STOP_19_1_S15,21.003067,105.821708
19_1_S16,STOP_19_1_S16,21.003883,105.818391
19_2_S25,STOP_19_2_S25,21.002033,105.818591
19_2_S26,STOP_19_2_S26,21.002450,105.822908
21A_1_S10,STOP_21A_1_S10,21.007735,105.828567
21A_1_S11,STOP_21A_1_S11,21.007383,105.822975
21A_1_S8,STOP_21A_1_S8,21.009983,105.835274
21A_1_S9,STOP_21A_1_S9,21.008100,105.833008
21A_2_S21,STOP_21A_2_S21,21.007867,105.823491
21A_2_S22,STOP_21A_2_S22,21.008983,105.825458
21A_2_S23,STOP_21A_2_S23,21.007162,105.829325
21A_2_S24,STOP_21A_2_S24,21.007933,105.832858
21A_2_S25,STOP_21A_2_S25,21.009346,105.834632
21B_1_S13,STOP_21B_1_S13,21.009983,105.835274
21B_1_S14,STOP_21B_1_S14,21.008100,105.833008
21B_1_S15,STOP_21B_1_S15,21.007735,105.828567
21B_1_S16,STOP_21B_1_S16,21.007383,105.822975
21B_2_S14,STOP_21B_2_S14,21.007867,105.823491
21B_2_S15,STOP_21B_2_S15,21.008983,105.825458
21B_2_S16,STOP_21B_2_S16,21.007162,105.829325
21B_2_S17,STOP_21B_2_S17,21.007933,105.832858
21B_2_S18,STOP_21B_2_S18,21.009346,105.834632
22A_1_S16,STOP_22A_1_S16,21.018455,105.806888
22A_1_S17,STOP_22A_1_S17,21.012667,105.801208
22A_2_S5,STOP_22A_2_S5,21.012848,105.801899
22A_2_S6,STOP_22A_2_S6,21.018450,105.807258
22A_2_S7,STOP_22A_2_S7,21.021702,105.809166
23_1_S10,STOP_23_1_S10,21.006233,105.833074
23_1_S11,STOP_23_1_S11,21.007735,105.828567
23_1_S12,STOP_23_1_S12,21.010567,105.824891
23_1_S13,STOP_23_1_S13,21.013250,105.822824
23_1_S14,STOP_23_1_S14,21.015233,105.824024
23_1_S15,STOP_23_1_S15,21.017766,105.823958
23_1_S16,STOP_23_1_S16,21.019683,105.824974
23_1_S9,STOP_23_1_S9,21.004717,105.835624
23_2_S22,STOP_23_2_S22,21.017816,105.823691
23_2_S23,STOP_23_2_S23,21.014966,105.823874
23_2_S24,STOP_23_2_S24,21.013350,105.822741
23_2_S25,STOP_23_2_S25,21.008983,105.825458
23_2_S26,STOP_23_2_S26,21.007162,105.829325
23_2_S27,STOP_23_2_S27,21.007933,105.832858
23_2_S28,STOP_23_2_S28,21.006617,105.835270
23_2_S29,STOP_23_2_S29,21.004800,105.835541
24_1_S18,STOP_24_1_S18,21.003067,105.821708
24_1_S19,STOP_24_1_S19,21.004217,105.818458
24_1_S20,STOP_24_1_S20,21.006133,105.816491
24_1_S21,STOP_24_1_S21,21.010100,105.812641
24_1_S22,STOP_24_1_S22,21.013357,105.807867
24_1_S23,STOP_24_1_S23,21.018400,105.802792
24_2_S10,STOP_24_2_S10,21.003883,105.818391
24_2_S11,STOP_24_2_S11,21.002450,105.822908
24_2_S5,STOP_24_2_S5,21.018183,105.802692
24_2_S6,STOP_24_2_S6,21.014300,105.806208
24_2_S7,STOP_24_2_S7,21.012650,105.808425
24_2_S8,STOP_24_2_S8,21.010350,105.811808
24_2_S9,STOP_24_2_S9,21.008167,105.814825
25_1_S27,STOP_25_1_S27,21.020243,105.830360
25_1_S28,STOP_25_1_S28,21.017133,105.830991
25_1_S29,STOP_25_1_S29,21.014883,105.833457
25_1_S30,STOP_25_1_S30,21.012545,105.835584
25_2_S10,STOP_25_2_S10,21.020210,105.830570
25_2_S7,STOP_25_2_S7,21.012583,105.835991
25_2_S8,STOP_25_2_S8,21.015266,105.833341
25_2_S9,STOP_25_2_S9,21.017218,105.831381
26_1_S12,STOP_26_1_S12,21.009983,105.835274
26_1_S13,STOP_26_1_S13,21.008100,105.833008
26_1_S14,STOP_26_1_S14,21.007735,105.828567
26_1_S15,STOP_26_1_S15,21.010083,105.823215
26_1_S16,STOP_26_1_S16,21.013350,105.819841
26_1_S17,STOP_26_1_S17,21.016316,105.815641
26_1_S18,STOP_26_1_S18,21.017266,105.814075
26_1_S19,STOP_26_1_S19,21.019750,105.808966
26_1_S20,STOP_26_1_S20,21.021702,105.809166
26_2_S13,STOP_26_2_S13,21.018455,105.806888
26_2_S14,STOP_26_2_S14,21.018450,105.807258
26_2_S15,STOP_26_2_S15,21.019433,105.809453
26_2_S16,STOP_26_2_S16,21.017483,105.813406
26_2_S17,STOP_26_2_S17,21.016050,105.815891
26_2_S18,STOP_26_2_S18,21.014766,105.817625
26_2_S19,STOP_26_2_S19,21.010233,105.822824
26_2_S20,STOP_26_2_S20,21.008983,105.825458
26_2_S21,STOP_26_2_S21,21.007162,105.829325
26_2_S22,STOP_26_2_S22,21.007933,105.832858
26_2_S23,STOP_26_2_S23,21.009346,105.834632
27_1_S21,STOP_27_1_S21,21.002033,105.818591
27_1_S22,STOP_27_1_S22,21.004217,105.818458
27_1_S23,STOP_27_1_S23,21.006133,105.816491
27_1_S24,STOP_27_1_S24,21.010100,105.812641
27_1_S25,STOP_27_1_S25,21.013357,105.807867
27_1_S26,STOP_27_1_S26,21.018450,105.807258
27_1_S27,STOP_27_1_S27,21.021702,105.809166
27_2_S13,STOP_27_2_S13,21.018455,105.806888
27_2_S14,STOP_27_2_S14,21.014300,105.806208
27_2_S15,STOP_27_2_S15,21.012650,105.808425
27_2_S16,STOP_27_2_S16,21.010350,105.811808
27_2_S17,STOP_27_2_S17,21.008167,105.814825
27_2_S18,STOP_27_2_S18,21.003883,105.818391
28_1_S10,STOP_28_1_S10,21.020572,105.826653
28_1_S7,STOP_28_1_S7,21.012583,105.835991
28_1_S8,STOP_28_1_S8,21.015266,105.833341
28_1_S9,STOP_28_1_S9,21.017218,105.831381
28_2_S20,STOP_28_2_S20,21.020267,105.826501
28_2_S21,STOP_28_2_S21,21.017133,105.830991
28_2_S22,STOP_28_2_S22,21.014883,105.833457
28_2_S23,STOP_28_2_S23,21.012545,105.835584
29_2_S28,STOP_29_2_S28,21.003150,105.801292
29_2_S29,STOP_29_2_S29,21.004333,105.806342
30_1_S12,STOP_30_1_S12,21.019377,105.837823
30_1_S13,STOP_30_1_S13,21.019613,105.833925
30_1_S14,STOP_30_1_S14,21.020572,105.826653
30_1_S15,STOP_30_1_S15,21.017816,105.823691
30_1_S16,STOP_30_1_S16,21.015366,105.819591
30_1_S17,STOP_30_1_S17,21.016316,105.815641
30_1_S18,STOP_30_1_S18,21.013533,105.812525
30_1_S19,STOP_30_1_S19,21.007589,105.807147
30_1_S20,STOP_30_1_S20,21.006217,105.805291
30_1_S21,STOP_30_1_S21,21.003183,105.800808
30_2_S10,STOP_30_2_S10,21.003150,105.801292
30_2_S11,STOP_30_2_S11,21.006500,105.805975
30_2_S12,STOP_30_2_S12,21.007794,105.807918
30_2_S13,STOP_30_2_S13,21.014483,105.813425
30_2_S14,STOP_30_2_S14,21.016050,105.815891
30_2_S15,STOP_30_2_S15,21.014766,105.817625
30_2_S16,STOP_30_2_S16,21.016066,105.820724
30_2_S17,STOP_30_2_S17,21.017766,105.823958
30_2_S18,STOP_30_2_S18,21.019683,105.824974
30_2_S19,STOP_30_2_S19,21.020267,105.826501
30_2_S20,STOP_30_2_S20,21.019537,105.833231
35A_1_S11,STOP_35A_1_S11,21.009983,105.835274
35A_1_S12,STOP_35A_1_S12,21.008100,105.833008
35A_1_S13,STOP_35A_1_S13,21.007735,105.828567
35A_1_S14,STOP_35A_1_S14,21.010083,105.823215
35A_1_S15,STOP_35A_1_S15,21.013350,105.819841
35A_1_S16,STOP_35A_1_S16,21.016316,105.815641
35A_1_S17,STOP_35A_1_S17,21.017266,105.814075
35A_1_S18,STOP_35A_1_S18,21.019750,105.808966
35A_1_S19,STOP_35A_1_S19,21.018455,105.806888
35A_1_S20,STOP_35A_1_S20,21.012667,105.801208
