route_id,trip_id,service_id,shape_id,peak_offpeak,boarding_type
01_1,01_1_MD_1,FULLW,1155,0,0
01_1,01_1_MD_10,FULLW,1514,0,0
01_1,01_1_MD_11,FULLW,1517,0,0
01_1,01_1_MD_12,FULLW,1516,0,0
01_1,01_1_MD_13,FULLW,1521,0,0
01_1,01_1_MD_14,FULLW,1519,0,0
01_1,01_1_MD_15,FULLW,2248,0,0
01_1,01_1_MD_16,FULLW,2246,0,0
01_1,01_1_MD_17,FULLW,2252,0,0
01_1,01_1_MD_18,FULLW,2250,0,0
01_1,01_1_MD_19,FULLW,2257,0,0
01_1,01_1_MD_2,FULLW,1153,0,0
01_1,01_1_MD_20,FULLW,2215,0,0
01_1,01_1_MD_21,FULLW,2212,0,0
01_1,01_1_MD_22,FULLW,2224,0,0
01_1,01_1_MD_23,FULLW,2220,0,0
01_1,01_1_MD_24,FULLW,2234,0,0
01_1,01_1_MD_25,FULLW,2229,0,0
01_1,01_1_MD_26,FULLW,2195,0,0
01_1,01_1_MD_27,FULLW,2193,0,0
01_1,01_1_MD_28,FULLW,2199,0,0
01_1,01_1_MD_29,FULLW,2197,0,0
01_1,01_1_MD_3,FULLW,1154,0,0
01_1,01_1_MD_30,FULLW,2163,0,0
01_1,01_1_MD_31,FULLW,2171,0,0
01_1,01_1_MD_32,FULLW,2168,0,0
01_1,01_1_MD_33,FULLW,2177,0,0
01_1,01_1_MD_34,FULLW,2174,0,0
01_1,01_1_MD_35,FULLW,2183,0,0
01_1,01_1_MD_36,FULLW,2180,0,0
01_1,01_1_MD_37,FULLW,2154,0,0
01_1,01_1_MD_38,FULLW,2152,0,0
01_1,01_1_MD_39,FULLW,2155,0,0
01_1,01_1_MD_4,FULLW,1149,0,0
01_1,01_1_MD_40,FULLW,2129,0,0
01_1,01_1_MD_41,FULLW,2126,0,0
01_1,01_1_MD_42,FULLW,2135,0,0
01_1,01_1_MD_43,FULLW,2132,0,0
01_1,01_1_MD_5,FULLW,1150,0,0
01_1,01_1_MD_6,FULLW,1147,0,0
01_1,01_1_MD_7,FULLW,1148,0,0
01_1,01_1_MD_8,FULLW,1151,0,0
01_1,01_1_MD_9,FULLW,1152,0,0
01_2,01_2_MD_1,FULLW,1893,0,0
01_2,01_2_MD_10,FULLW,369,0,0
01_2,01_2_MD_11,FULLW,367,0,0
