route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
01_1,FULLW,01_1_AM_1,,,,
01_1,FULLW,01_1_AM_2,,,,
01_1,FULLW,01_1_AM_3,,,,
01_1,FULLW,01_1_AM_4,,,,
01_1,FULLW,01_1_AM_5,,,,
01_1,FULLW,01_1_AM_6,,,,
01_1,FULLW,01_1_AM_7,,,,
01_1,FULLW,01_1_AM_8,,,,
01_1,FULLW,01_1_AM_9,,,,
01_1,FULLW,01_1_AM_10,,,,
01_1,FULLW,01_1_AM_11,,,,
01_1,FULLW,01_1_AM_12,,,,
01_1,FULLW,01_1_AM_13,,,,
01_1,FULLW,01_1_AM_14,,,,
01_1,FULLW,01_1_AM_15,,,,
01_1,FULLW,01_1_AM_16,,,,
01_1,FULLW,01_1_AM_17,,,,
01_1,FULLW,01_1_AM_18,,,,
01_1,FULLW,01_1_AM_19,,,,
01_2,FULLW,01_2_AM_1,,,,
01_2,FULLW,01_2_AM_2,,,,
01_2,FULLW,01_2_AM_3,,,,
01_2,FULLW,01_2_AM_4,,,,
01_2,FULLW,01_2_AM_5,,,,
01_2,FULLW,01_2_AM_6,,,,
01_2,FULLW,01_2_AM_7,,,,
01_2,FULLW,01_2_AM_8,,,,
01_2,FULLW,01_2_AM_9,,,,
01_2,FULLW,01_2_AM_10,,,,
01_2,FULLW,01_2_AM_11,,,,
01_2,FULLW,01_2_AM_12,,,,
01_2,FULLW,01_2_AM_13,,,,
01_2,FULLW,01_2_AM_14,,,,
01_2,FULLW,01_2_AM_15,,,,
01_2,FULLW,01_2_AM_16,,,,
01_2,FULLW,01_2_AM_17,,,,
01_2,FULLW,01_2_AM_18,,,,
01_2,FULLW,01_2_AM_19,,,,
02_1,FULLW,02_1_AM_1,,,,
02_1,FULLW,02_1_AM_2,,,,
02_1,FULLW,02_1_AM_3,,,,
02_1,FULLW,02_1_AM_4,,,,
02_1,FULLW,02_1_AM_5,,,,
02_1,FULLW,02_1_AM_6,,,,
02_1,FULLW,02_1_AM_7,,,,
02_1,FULLW,02_1_AM_8,,,,
02_1,FULLW,02_1_AM_9,,,,
02_1,FULLW,02_1_AM_10,,,,
02_1,FULLW,02_1_AM_11,,,,
02_1,FULLW,02_1_AM_12,,,,
02_1,FULLW,02_1_AM_13,,,,
02_1,FULLW,02_1_AM_14,,,,
02_1,FULLW,02_1_AM_15,,,,
02_1,FULLW,02_1_AM_16,,,,
02_1,FULLW,02_1_AM_17,,,,
02_1,FULLW,02_1_AM_18,,,,
02_1,FULLW,02_1_AM_19,,,,
02_1,FULLW,02_1_AM_20,,,,
02_1,FULLW,02_1_AM_21,,,,
02_1,FULLW,02_1_AM_22,,,,
02_1,FULLW,02_1_AM_23,,,,
02_1,FULLW,02_1_AM_24,,,,
02_1,FULLW,02_1_AM_25,,,,
02_1,FULLW,02_1_AM_26,,,,
02_1,FULLW,02_1_AM_27,,,,
02_1,FULLW,02_1_AM_28,,,,
02_1,FULLW,02_1_AM_29,,,,
02_1,FULLW,02_1_AM_30,,,,
02_1,FULLW,02_1_AM_31,,,,
02_1,FULLW,02_1_AM_32,,,,
02_1,FULLW,02_1_AM_33,,,,
02_1,FULLW,02_1_AM_34,,,,
02_1,FULLW,02_1_AM_35,,,,
02_1,FULLW,02_1_AM_36,,,,
02_1,FULLW,02_1_AM_37,,,,
02_2,FULLW,02_2_AM_1,,,,
02_2,FULLW,02_2_AM_2,,,,
02_2,FULLW,02_2_AM_3,,,,
02_2,FULLW,02_2_AM_4,,,,
02_2,FULLW,02_2_AM_5,,,,
02_2,FULLW,02_2_AM_6,,,,
02_2,FULLW,02_2_AM_7,,,,
02_2,FULLW,02_2_AM_8,,,,
02_2,FULLW,02_2_AM_9,,,,
02_2,FULLW,02_2_AM_10,,,,
02_2,FULLW,02_2_AM_11,,,,
02_2,FULLW,02_2_AM_12,,,,
02_2,FULLW,02_2_AM_13,,,,
02_2,FULLW,02_2_AM_14,,,,
02_2,FULLW,02_2_AM_15,,,,
02_2,FULLW,02_2_AM_16,,,,
02_2,FULLW,02_2_AM_17,,,,
02_2,FULLW,02_2_AM_18,,,,
02_2,FULLW,02_2_AM_19,,,,
02_2,FULLW,02_2_AM_20,,,,
02_2,FULLW,02_2_AM_21,,,,
02_2,FULLW,02_2_AM_22,,,,
02_2,FULLW,02_2_AM_23,,,,
02_2,FULLW,02_2_AM_24,,,,
02_2,FULLW,02_2_AM_25,,,,
02_2,FULLW,02_2_AM_26,,,,
02_2,FULLW,02_2_AM_27,,,,
02_2,FULLW,02_2_AM_28,,,,
02_2,FULLW,02_2_AM_29,,,,
02_2,FULLW,02_2_AM_30,,,,
02_2,FULLW,02_2_AM_31,,,,
02_2,FULLW,02_2_AM_32,,,,
02_2,FULLW,02_2_AM_33,,,,
02_2,FULLW,02_2_AM_34,,,,
02_2,FULLW,02_2_AM_35,,,,
02_2,FULLW,02_2_AM_36,,,,
02_2,FULLW,02_2_AM_37,,,,
03A_1,FULLW,03A_1_AM_1,,,,
03A_1,FULLW,03A_1_AM_2,,,,
03A_1,FULLW,03A_1_AM_3,,,,
03A_1,FULLW,03A_1_AM_4,,,,
03A_1,FULLW,03A_1_AM_5,,,,
03A_1,FULLW,03A_1_AM_6,,,,
03A_1,FULLW,03A_1_AM_7,,,,
03A_1,FULLW,03A_1_AM_8,,,,
03A_1,FULLW,03A_1_AM_9,,,,
03A_1,FULLW,03A_1_AM_10,,,,
03A_1,FULLW,03A_1_AM_11,,,,
03A_1,FULLW,03A_1_AM_12,,,,
03A_1,FULLW,03A_1_AM_13,,,,
03A_1,FULLW,03A_1_AM_14,,,,
03A_1,FULLW,03A_1_AM_15,,,,
03A_1,FULLW,03A_1_AM_16,,,,
03A_1,FULLW,03A_1_AM_17,,,,
03A_1,FULLW,03A_1_AM_18,,,,
03A_1,FULLW,03A_1_AM_19,,,,
03A_2,FULLW,03A_2_AM_1,,,,
03A_2,FULLW,03A_2_AM_2,,,,
03A_2,FULLW,03A_2_AM_3,,,,
03A_2,FULLW,03A_2_AM_4,,,,
03A_2,FULLW,03A_2_AM_5,,,,
03A_2,FULLW,03A_2_AM_6,,,,
03A_2,FULLW,03A_2_AM_7,,,,
03A_2,FULLW,03A_2_AM_8,,,,
03A_2,FULLW,03A_2_AM_9,,,,
03A_2,FULLW,03A_2_AM_10,,,,
03A_2,FULLW,03A_2_AM_11,,,,
03A_2,FULLW,03A_2_AM_12,,,,
03A_2,FULLW,03A_2_AM_13,,,,
03A_2,FULLW,03A_2_AM_14,,,,
03A_2,FULLW,03A_2_AM_15,,,,
03A_2,FULLW,03A_2_AM_16,,,,
03A_2,FULLW,03A_2_AM_17,,,,
03A_2,FULLW,03A_2_AM_18,,,,
03A_2,FULLW,03A_2_AM_19,,,,
03B_1,FULLW,03B_1_AM_1,,,,
03B_1,FULLW,03B_1_AM_2,,,,
03B_1,FULLW,03B_1_AM_3,,,,
03B_1,FULLW,03B_1_AM_4,,,,
03B_1,FULLW,03B_1_AM_5,,,,
03B_1,FULLW,03B_1_AM_6,,,,
03B_1,FULLW,03B_1_AM_7,,,,
03B_2,FULLW,03B_2_AM_1,,,,
03B_2,FULLW,03B_2_AM_2,,,,
03B_2,FULLW,03B_2_AM_3,,,,
03B_2,FULLW,03B_2_AM_4,,,,
03B_2,FULLW,03B_2_AM_5,,,,
03B_2,FULLW,03B_2_AM_6,,,,
03B_2,FULLW,03B_2_AM_7,,,,
04_1,FULLW,04_1_AM_1,,,,
04_1,FULLW,04_1_AM_2,,,,
04_1,FULLW,04_1_AM_3,,,,
04_1,FULLW,04_1_AM_4,,,,
04_1,FULLW,04_1_AM_5,,,,
04_1,FULLW,04_1_AM_6,,,,
04_1,FULLW,04_1_AM_7,,,,
04_1,FULLW,04_1_AM_8,,,,
04_1,FULLW,04_1_AM_9,,,,
04_1,FULLW,04_1_AM_10,,,,
04_1,FULLW,04_1_AM_11,,,,
04_1,FULLW,04_1_AM_12,,,,
04_1,FULLW,04_1_AM_13,,,,
04_1,FULLW,04_1_AM_14,,,,
04_1,FULLW,04_1_AM_15,,,,
04_1,FULLW,04_1_AM_16,,,,
04_2,FULLW,04_2_AM_1,,,,
04_2,FULLW,04_2_AM_2,,,,
04_2,FULLW,04_2_AM_3,,,,
04_2,FULLW,04_2_AM_4,,,,
04_2,FULLW,04_2_AM_5,,,,
04_2,FULLW,04_2_AM_6,,,,
04_2,FULLW,04_2_AM_7,,,,
04_2,FULLW,04_2_AM_8,,,,
04_2,FULLW,04_2_AM_9,,,,
04_2,FULLW,04_2_AM_10,,,,
04_2,FULLW,04_2_AM_11,,,,
04_2,FULLW,04_2_AM_12,,,,
04_2,FULLW,04_2_AM_13,,,,
04_2,FULLW,04_2_AM_14,,,,
04_2,FULLW,04_2_AM_15,,,,
04_2,FULLW,04_2_AM_16,,,,
05_1,FULLW,05_1_AM_1,,,,
05_1,FULLW,05_1_AM_2,,,,
05_1,FULLW,05_1_AM_3,,,,
05_1,FULLW,05_1_AM_4,,,,
05_1,FULLW,05_1_AM_5,,,,
05_1,FULLW,05_1_AM_6,,,,
05_1,FULLW,05_1_AM_7,,,,
05_1,FULLW,05_1_AM_8,,,,
05_1,FULLW,05_1_AM_9,,,,
05_1,FULLW,05_1_AM_10,,,,
05_1,FULLW,05_1_AM_11,,,,
05_1,FULLW,05_1_AM_12,,,,
05_1,FULLW,05_1_AM_13,,,,
05_2,FULLW,05_2_AM_1,,,,
05_2,FULLW,05_2_AM_2,,,,
05_2,FULLW,05_2_AM_3,,,,
05_2,FULLW,05_2_AM_4,,,,
05_2,FULLW,05_2_AM_5,,,,
05_2,FULLW,05_2_AM_6,,,,
05_2,FULLW,05_2_AM_7,,,,
05_2,FULLW,05_2_AM_8,,,,
05_2,FULLW,05_2_AM_9,,,,
05_2,FULLW,05_2_AM_10,,,,
05_2,FULLW,05_2_AM_11,,,,
05_2,FULLW,05_2_AM_12,,,,
05_2,FULLW,05_2_AM_13,,,,
06A_1,FULLW,06A_1_AM_1,,,,
06A_1,FULLW,06A_1_AM_2,,,,
06A_1,FULLW,06A_1_AM_3,,,,
06A_1,FULLW,06A_1_AM_4,,,,
06A_1,FULLW,06A_1_AM_5,,,,
06A_1,FULLW,06A_1_AM_6,,,,
06A_1,FULLW,06A_1_AM_7,,,,
06A_1,FULLW,06A_1_AM_8,,,,
06A_1,FULLW,06A_1_AM_9,,,,
