fare_id,route_id
TICKET_UNITE,1-0
TICKET_UNITE,2-0
TICKET_UNITE,3-0
TICKET_UNITE,4-0
TICKET_UNITE,5-0
TICKET_UNITE,10-0
TICKET_UNITE,11-0
TICKET_UNITE,12-0
TICKET_UNITE,23-0
TICKET_UNITE,26-0
TICKET_UNITE,27-0
TICKET_UNITE,28-0
TICKET_UNITE,30-0
TICKET_UNITE,33-0
TICKET_UNITE,36-0
TICKET_UNITE,38-0
TICKET_UNITE,40-0
TICKET_UNITE,42-0
TICKET_UNITE,47-0
TICKET_UNITE,50-0
TICKET_UNITE,54-0
TICKET_UNITE,59-0
TICKET_UNITE,60-0
TICKET_UNITE,66-0
TICKET_UNITE,67-0
TICKET_UNITE,69-0
TICKET_UNITE,71-0
TICKET_UNITE,75-0
TICKET_UNITE,77-0
TICKET_UNITE,78-0
TICKET_UNITE,79-0
TICKET_UNITE,80-0
TICKET_UNITE,81-0
TICKET_UNITE,85-0
TICKET_UNITE,86-0
TICKET_UNITE,87-0
TICKET_UNITE,88-0
TICKET_UNITE,89-0
TICKET_UNITE,91-0
TICKET_UNITE,93-0
TICKET_UNITE,95-0
TICKET_UNITE,96-0
TICKET_UNITE,97-0
TICKET_UNITE,98-0
TICKET_UNITE,101-0
TICKET_UNITE,102-0
TICKET_UNITE,104-0
TICKET_UNITE,105-0
TICKET_UNITE,107-0
TICKET_UNITE,108-0
TICKET_UNITE,109-0
TICKET_UNITE,111-0
TICKET_UNITE,112-0
TICKET_UNITE,115-0
TICKET_UNITE,117-0
TICKET_UNITE,118-0
TICKET_UNITE,119-0
TICKET_UNITE,122-0
TICKET_UNITE,127-0
TICKET_UNITE,128-0
TICKET_UNITE,129-0
TICKET_UNITE,131-0
TICKET_UNITE,135-0
TICKET_UNITE,137-0
TICKET_UNITE,138-0
TICKET_UNITE,139-0
TICKET_UNITE,141-0
TICKET_UNITE,142-0
TICKET_UNITE,147-0
TICKET_UNITE,149-0
TICKET_UNITE,152-0
TICKET_UNITE,157-0
TICKET_UNITE,158-0
TICKET_UNITE,159-0
TICKET_UNITE,162-0
TICKET_UNITE,168-0
TICKET_UNITE,169-0
TICKET_UNITE,172-0
TICKET_UNITE,179-0
TICKET_UNITE,189-0
TICKET_UNITE,192-0
TICKET_UNITE,C1-0
TICKET_UNITE,C2-0
TICKET_UNITE,C20-0
TICKET_UNITE,C3-0
TICKET_UNITE,C4-0
TICKET_UNITE,C6-0
TICKET_UNITE,C7-0
TICKET_UNITE,C9-0
TICKET_UNITE,E1-0
TICKET_UNITE,E4-0
TICKET_UNITE,E5-0
TICKET_UNITE,E8-0
TICKET_UNITE,LCE-0
TICKET_UNITE,LCN-0
TICKET_UNITE,LCO-0
TICKET_UNITE,N1-0
TICKET_UNITE,N2-0
TICKET_UNITE,N3-0
NAVETTE_AEROPORT,NA-0
TICKET_UNITE,NC-0
TICKET_UNITE,NGG-0
TICKET_UNITE,NN-0
TICKET_UNITE,NO-0
TICKET_UNITE,NS-0
