shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2711146,47.197800,-1.454118,18371
2711146,47.193174,-1.462732,18372
2711146,47.193174,-1.462732,18381
2711146,47.190801,-1.460999,18382
2711146,47.190801,-1.460999,18391
2711146,47.186928,-1.458999,18392
2711146,47.186928,-1.458999,18401
2711146,47.188204,-1.464409,18402
2711146,47.188204,-1.464409,18411
2711146,47.188856,-1.469851,18412
2711146,47.188856,-1.469851,18421
2711146,47.189155,-1.472620,18422
2711146,47.189155,-1.472620,18431
2711146,47.187100,-1.478505,18432
2711146,47.187100,-1.478505,18441
2711146,47.188394,-1.483697,18442
2711146,47.188394,-1.483697,18451
2711146,47.190529,-1.487421,18452
2711146,47.190529,-1.487421,18461
2711146,47.192470,-1.491768,18462
2711146,47.192470,-1.491768,18471
2711146,47.194941,-1.489987,18472
2711146,47.194941,-1.489987,18481
2711146,47.197160,-1.492282,18482
2711146,47.197160,-1.492282,18491
2711146,47.199799,-1.493510,18492
2711146,47.199799,-1.493510,18501
2711146,47.199611,-1.495669,18502
2711146,47.199611,-1.495669,18511
2711146,47.199327,-1.499672,18512
2711146,47.199327,-1.499672,18521
2711146,47.199455,-1.503320,18522
2711146,47.199455,-1.503320,18531
2711146,47.199266,-1.507298,18532
2711146,47.199266,-1.507298,18541
2711146,47.199071,-1.510395,18542
2711146,47.199071,-1.510395,18551
2711146,47.198769,-1.515545,18552
2711146,47.198769,-1.515545,18561
2711146,47.199660,-1.519868,18562
2711146,47.199660,-1.519868,18571
2711146,47.199162,-1.526462,18572
2711146,47.199162,-1.526462,18581
2711146,47.199459,-1.532968,18582
2711146,47.199459,-1.532968,18591
2711146,47.197167,-1.540584,18592
2711146,47.197167,-1.540584,18601
2711146,47.196098,-1.542686,18602
2710147,47.196358,-1.542550,18121
2710147,47.196881,-1.540533,18122
2710147,47.196881,-1.540533,18131
2710147,47.199328,-1.532873,18132
2710147,47.199328,-1.532873,18141
2710147,47.199055,-1.524925,18142
2710147,47.199055,-1.524925,18151
2710147,47.199533,-1.519877,18152
2710147,47.199533,-1.519877,18161
2710147,47.198696,-1.515467,18162
2710147,47.198696,-1.515467,18171
2710147,47.199104,-1.509656,18172
2710147,47.199104,-1.509656,18181
2710147,47.199191,-1.507331,18182
2710147,47.199191,-1.507331,18191
2710147,47.199374,-1.502850,18192
2710147,47.199374,-1.502850,18201
2710147,47.199141,-1.500069,18202
2710147,47.199141,-1.500069,18211
2710147,47.199365,-1.497396,18212
2710147,47.199365,-1.497396,18221
2710147,47.199724,-1.493526,18222
2710147,47.199724,-1.493526,18231
