stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
ABCH,"Abbé Chérel",,47.210044,-1.651639,,,1,,
ABDU,"Abel Durand",,47.220059,-1.603253,,,1,,
ABOL,"Adrienne Bolland",,47.267947,-1.476601,,,1,,
ACHA,"Angle Chaillou",,47.269711,-1.571896,,,1,,
ADBO,"Audubon",,47.214067,-1.723228,,,1,,
ADEL,"Aimé Delrue",,47.208986,-1.550139,,,1,,
ADPI,"Avenue des Pins",,47.253703,-1.597756,,,1,,
AECL,"Aéroclub",,47.159326,-1.598295,,,1,,
AEPO,"D2A - Aéroport",,47.156959,-1.597271,,,1,,
AESP,"Aérospatiale",,47.160800,-1.587953,,,1,,
AFRA,"Anatole France",,47.223676,-1.571614,,,1,,
AGBE,"L'Angebert",,47.140561,-1.455754,,,1,,
AGDR,"Angebardière",,47.169421,-1.505210,,,1,,
AGVI,"Angevinière",,47.245972,-1.611047,,,1,,
AIBU,"Airbus",,47.158682,-1.591217,,,1,,
AIGU,"Aiguillon",,47.254477,-1.496596,,,1,,
ALCH,"Champ de l'Alouette",,47.282919,-1.580162,,,1,,
ALDE,"Allende",,47.174795,-1.624579,,,1,,
ALNE,"Aulne",,47.276981,-1.639022,,,1,,
AMCA,"Armoricaine",,47.258272,-1.647516,,,1,,
AMER,"Américains",,47.235797,-1.567891,,,1,,
AMPE,"Ampère",,47.260725,-1.553191,,,1,,
ANGE,"Les Anges",,47.275299,-1.637117,,,1,,
ANTO,"Antons",,47.257654,-1.622611,,,1,,
APAV,"Apave",,47.225372,-1.647491,,,1,,
APER,"Ampère",,47.302257,-1.507838,,,1,,
APRE,"Ambroise Paré",,47.228897,-1.608639,,,1,,
AQUI,"Aquitaine",,47.209886,-1.614973,,,1,,
ARAG,"Arago",,47.303599,-1.505017,,,1,,
ARBO,"Arbois",,47.258673,-1.581759,,,1,,
ARCA,"Arcades",,47.212022,-1.653606,,,1,,
ARGO,"Argonautes",,47.302404,-1.481814,,,1,,
ARMO,"Armorique",,47.271522,-1.445366,,,1,,
AROR,"Armor",,47.231040,-1.631826,,,1,,
ATAR,"Antarès",,47.281665,-1.459658,,,1,,
AUCP,"La Chapelle Aulnay",,47.308363,-1.543360,,,1,,
AUFR,"L'Aufrère",,47.167341,-1.525132,,,1,,
AUGE,"Augé",,47.194981,-1.517403,,,1,,
AURR,"Aurore",,47.265395,-1.581476,,,1,,
AVEN,"Aveneaux",,47.232839,-1.630533,,,1,,
BAGA,"Bagatelle",,47.243486,-1.620221,,,1,,
BAIR,"Bel Air",,47.225455,-1.559242,,,1,,
BALI,"Balinière",,47.186050,-1.554021,,,1,,
BANS,"Bois des Anses",,47.246645,-1.494904,,,1,,
BARR,"La Barre",,47.308759,-1.381118,,,1,,
BAST,"Bastille",,47.179401,-1.597172,,,1,,
BATI,"Batignolles",,47.255544,-1.529635,,,1,,
BAUG,"Baugerie",,47.203443,-1.520864,,,1,,
BAVO,"Basse Orévière",,47.220464,-1.658985,,,1,,
BBNI,"Babinière",,47.259298,-1.546257,,,1,,
BBON,"Boisbonne",,47.286851,-1.508622,,,1,,
BBRE,"Barbinière",,47.159844,-1.481621,,,1,,
BCES,"Bois Cesbron",,47.261094,-1.624483,,,1,,
BCGA,"Bd Charles Gautier",,47.222821,-1.607158,,,1,,
BCHE,"Basse Chênaie",,47.241179,-1.509182,,,1,,
BCNY,"Bas-Chantenay",,47.198272,-1.589191,,,1,,
BCOI,"Branchoire",,47.217852,-1.603018,,,1,,
BCTT,"Blanchet",,47.171337,-1.543179,,,1,,
BDAN,"Bd des Anglais",,47.226722,-1.582948,,,1,,
BDEL,"Baudelaire",,47.233637,-1.593093,,,1,,
BDIN,"Bodinières",,47.209903,-1.641926,,,1,,
BDLA,"Bout des Landes",,47.267426,-1.582289,,,1,,
BDNN,"Bourdonnais",,47.205567,-1.579920,,,1,,
BDOU,"Bd de Doulon",,47.224716,-1.519776,,,1,,
BDPA,"Bout des Pavés",,47.252706,-1.576387,,,1,,
BDRI,"Bourderies",,47.206583,-1.595662,,,1,,
BDSP,"Bd des Sports",,47.165646,-1.468861,,,1,,
BEDR,"Bel Endroit",,47.154710,-1.633980,,,1,,
BEET,"Bel Être",,47.179458,-1.567597,,,1,,
BEGE,"Beauger",,47.234265,-1.553079,,,1,,
