route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
75-0,CR_24_25-HA25H1F6-Samedi-22,35703470-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703471-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703472-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703473-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703474-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703475-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703476-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703477-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703478-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703479-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703480-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703481-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703482-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703483-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703484-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703485-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703486-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703487-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140656,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703488-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703489-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703490-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140656,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703491-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140654,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703492-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140653,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703493-CR_24_25-HA25H1F6-Samedi-22,"Facultés",1,4140655,7511193,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703494-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703495-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703496-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703497-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703498-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703499-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703500-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703501-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703502-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703503-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703504-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703505-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703506-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703507-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703508-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703509-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703510-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703511-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703512-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140656,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703513-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703514-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140653,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703515-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703516-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140655,7510192,2
75-0,CR_24_25-HA25H1F6-Samedi-22,35703517-CR_24_25-HA25H1F6-Samedi-22,"Charbonneau",0,4140654,7510192,2
